id;role;surname;name;patronymic;login;password
1;Администратор;Иванов;Сергей;Петрович;starka78@mail.ru;9SdkLp012
2;Администратор;Смирнова;Анна;Викторовна;oblako12@yandex.ru;aV82mNqW
3;Менеджер;Козлов;Дмитрий;Игоревич;greenlab@gmail.com ;Kozlov91D
4;Менеджер;Новикова;Елена;Павловна;sever77@inbox.ru;Nvk78EpL
5;Менеджер;Соколов;Алексей;Борисович;radost22@mail.ru;Sokl22Ab
6;Авторизированный клиент;Попова;Мария;Сергеевна;utro2023@yandex.ru;PopMr49S
7;Авторизированный клиент;Морозов;Андрей;Николаевич;proektor@gmail.com;Moroz11An
8;Авторизированный клиент;Волкова;Ольга;Дмитриевна;shtorm@inbox.ru;VolkOlg5D
9;Авторизированный клиент;Лебедев;Павел;Олегович;zvezda84@mail.ru;Lebed78Po
10;Авторизированный клиент;Орлова;Ирина;Вадимовна;solnce55@yandex.ru;OrlIva35V
